# TIME                TIMECORR       CADENCENO   SAP_FLUX     SAP_FLUX_ERR   SAP_BKG     SAP_BKG_ERR   PDCSAP_FLUX   PDCSAP_FLUX_ERR   SAP_QUALITY   PSF_CENTR1   PSF_CENTR1_ERR   PSF_CENTR2   PSF_CENTR2_ERR   MOM_CENTR1           MOM_CENTR1_ERR   MOM_CENTR2           MOM_CENTR2_ERR   POS_CORR1      POS_CORR2    
  539.4502657201374   0.0029379001   21069       ""           ""             ""          ""            ""            ""                16392         ""           ""               ""           ""               ""                   ""               ""                   ""               ""             ""           
  540.1245901586663   0.0029533387   21102       11859.817    6.025935       2011.8315   1.0609614     12082.685     6.180681          0             ""           ""               ""           ""               1032.25895910703     0.0010078843     294.8584394079666    8.947068E-4      0.003122636    0.11098127   
  540.1450243224681   0.0029538025   21103       11860.699    6.0258756      2013.4847   1.0609686     12084.508     6.1808596         0             ""           ""               ""           ""               1032.2585569419182   0.0010086619     294.8575527524465    8.953402E-4      0.0031333393   0.11109734   
  540.1654582860356   0.002954266    21104       11855.933    6.0258164      2013.6165   1.0609759     12079.317     6.180134          0             ""           ""               ""           ""               1032.2572884929689   0.0010083702     294.8602116894815    8.9533586E-4     0.003166914    0.11105788   
  540.185892349371    0.0029547294   21105       11857.323    6.0257564      2013.1798   1.0609832     12081.237     6.180361          0             ""           ""               ""           ""               1032.2585518912692   0.001008103      294.85820335411614   8.949E-4         0.0031345072   0.11101707   
  540.2063265124671   0.0029551925   21106       11843.51     6.0256963      2014.6405   1.0609905     12066.977     6.181658          0             ""           ""               ""           ""               1032.2581394137956   0.0010099465     294.8588341231527    8.966017E-4      0.0030091738   0.11098486   
  540.226760575104    0.002955655    21107       11859.071    6.0256367      2013.8053   1.0609977     12083.231     6.1806917         0             ""           ""               ""           ""               1032.2543828031135   0.0010079158     294.8597745587956    8.949894E-4      0.0030906      0.11109619   
  540.2471945377329   0.0029561177   21108       11852.528    6.025577       2014.0808   1.061005      12077.386     6.1807404         0             ""           ""               ""           ""               1032.2562684020756   0.001008337      294.8592755537895    8.9526875E-4     0.0030886584   0.11129812   
  540.2676287001377   0.0029565801   21109       11855.2705   6.025517       2013.6288   1.0610123     12078.858     6.1807165         0             ""           ""               ""           ""               1032.2592704771819   0.0010083134     294.85911743516505   8.9514535E-4     0.0030243606   0.111252315  
  540.288062762309    0.0029570423   21110       11884.59     6.0254574      2016.2754   1.0610195     12110.945     6.179838          0             ""           ""               ""           ""               1032.256993174115    0.0010056064     294.8583246368177    8.927498E-4      0.003141902    0.11134696   
  540.3084967240138   0.002957504    21111       11850.165    6.0253973      2017.0447   1.0610267     12074.315     6.180526          0             ""           ""               ""           ""               1032.2577845551837   0.0010093123     294.8603113622076    8.9617807E-4     0.0031460463   0.110978045  
  540.3289308857129   0.0029579657   21112       11850.51     6.025338       2013.0347   1.061034      12076.14      6.1809564         0             ""           ""               ""           ""               1032.256888399519    0.0010088189     294.85965147562337   8.9571544E-4     0.0031250627   0.111097425  
  540.3493649471857   0.0029584272   21113       11843.003    6.025278       2012.938    1.0610412     12067.118     6.181556          0             ""           ""               ""           ""               1032.2575080038596   0.0010083946     294.860064657864     8.9535525E-4     0.0031569002   0.11092277   
  540.3697989081847   0.0029588882   21114       11850.197    6.0252185      2016.3812   1.0610485     12075.745     6.181124          0             ""           ""               ""           ""               1032.258327253771    0.0010090907     294.8610087635035    8.960267E-4      0.0031341917   0.11087372   
  540.3902330691926   0.0029593492   21115       11839.256    6.025159       2010.8502   1.0610557     12063.666     6.181123          0             ""           ""               ""           ""               1032.2598217647392   0.0010107638     294.8593926335228    8.973368E-4      0.003220416    0.11084633   
